id,description,hierarchy_levels,type,source
ESCO_00c85cbc-2b24-4605-a6fe-55b5c615e3fe,sawing techniques,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0722']]",preferredLabel,esco
ESCO_00cd1d60-782f-48e7-9a7b-b518f2b146b8,produce guitar components,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.5', 'ESCO_S6.5.1']]",preferredLabel,esco
ESCO_00dd3271-077f-4a12-a958-e297fdd724ce,operate agricultural machinery,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.1', 'ESCO_S8.1.2']]",preferredLabel,esco
ESCO_00e261cc-669c-4b94-8950-d038eceb92d8,control pyrotechnics stock,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.13', 'ESCO_S6.13.1'], ['ESCO_S', 'ESCO_S6', 'ESCO_S6.1', 'ESCO_S6.1.1']]",preferredLabel,esco
ESCO_00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,guarantee customer satisfaction,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.4']]",preferredLabel,esco
ESCO_00e895f4-b9d3-4a1a-8c36-baf10fbfb982,manufacture wearing apparel products,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.5', 'ESCO_S6.5.6']]",preferredLabel,esco
ESCO_00eada7f-0b83-4f0c-af81-d7f92d838000,cure tobacco leaves,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.5', 'ESCO_S6.5.8']]",preferredLabel,esco
ESCO_00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a rehabilitation programme,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.2', 'ESCO_S3.2.4']]",preferredLabel,esco
ESCO_00ec5333-e570-477b-9017-2e95fea0150a,maintain inventory of cleaning supplies,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.2', 'ESCO_S2.2.5']]",preferredLabel,esco
ESCO_00eefa32-9f77-4500-abe9-20afc7924a9d,cold vulcanisation,"[['ESCO_K', 'ESCO_K07', 'ESCO_K071', 'ESCO_K0711']]",preferredLabel,esco
ESCO_00f12ec1-b416-4e3c-8ed7-c4f875c6b681,supervise housekeeping operations,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0']]",preferredLabel,esco
ESCO_00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,act as contact person during equipment incident,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.1']]",preferredLabel,esco
ESCO_00fc7575-0cee-4b12-ade5-795cb2a4479a,manage time in landscaping,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.2'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None]]",preferredLabel,esco
ESCO_00ff06cc-103f-4c85-b5df-6f75acff6abf,advise customers,"[['ESCO_T', 'ESCO_T4', 'ESCO_T4.2', None], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.3'], ['ESCO_S', 'ESCO_S1', 'ESCO_S1.5', 'ESCO_S1.5.0']]",preferredLabel,esco
ESCO_011711eb-f20b-4d64-84d7-17b8979946dc,manage university department,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_T', 'ESCO_T4', 'ESCO_T4.4', None], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.5', 'ESCO_S4.5.0']]",preferredLabel,esco
ESCO_0121ac3b-775b-4faf-b86d-0078623674bc,develop terminology databases,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.3', 'ESCO_S2.3.0'], ['ESCO_S', 'ESCO_S5', 'ESCO_S5.5', 'ESCO_S5.5.2']]",preferredLabel,esco
ESCO_01267c89-b27f-4de0-b555-3683c5a5d66e,assess nutritional characteristics of food,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.5', 'ESCO_S3.5.1']]",preferredLabel,esco
ESCO_012795fe-5f85-4d12-a10e-9dabda4ea05f,repair electric bicycles,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.7', 'ESCO_S8.7.1'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.8', 'ESCO_S8.8.1']]",preferredLabel,esco
ESCO_012d6406-016a-4790-aeb8-853e61058517,maintain sorting equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.0', 'ESCO_S8.0.0'], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.7', 'ESCO_S8.7.2']]",preferredLabel,esco
ESCO_012f9ad1-b95b-42f1-b2c7-3793cdbce443,explain features in accommodation venue,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.1']]",preferredLabel,esco
ESCO_0132ac4f-ffac-4396-8b56-052fde0c9d73,types of barley,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",preferredLabel,esco
ESCO_013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"[['ESCO_K', 'ESCO_K06', 'ESCO_K061', 'ESCO_K0612']]",preferredLabel,esco
ESCO_0138fdc7-edbb-485c-9aa9-544f723eb62f,carry out parts purchasing,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.6', 'ESCO_S1.6.3']]",preferredLabel,esco
