id,description,hierarchy_levels,type,source
ESCO_45b2a257-1c28-4c84-bc71-a4871e398c54,wind farm site evaluating,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.1']]",altLabels,esco
ESCO_45b2a257-1c28-4c84-bc71-a4871e398c54,site evaluating for wind farms,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.1']]",altLabels,esco
ESCO_45b2a257-1c28-4c84-bc71-a4871e398c54,location researching for wind farms,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.1']]",altLabels,esco
ESCO_45b2a257-1c28-4c84-bc71-a4871e398c54,researching locations for wind farms,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.7', 'ESCO_S2.7.1']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,development of site remediation strategies,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,making plans for site restoration,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,site restoration plan making,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,developing site remediation strategies,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,making of plans for site restoration,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,developing of site remediation strategies,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,site remediation strategies development,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,site remediation strategy development,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45b79278-465a-4eed-8809-369318bab119,make plans for site restoration,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45bd80e7-ead6-4adf-9053-0356ad0f2415,assist in coordinating promotional activities,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_45bd80e7-ead6-4adf-9053-0356ad0f2415,helping coordinate promotional activities,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_45bd80e7-ead6-4adf-9053-0356ad0f2415,help promotional activities coordination,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_45bd80e7-ead6-4adf-9053-0356ad0f2415,aid in coordinating promotional activities,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_45bd80e7-ead6-4adf-9053-0356ad0f2415,help coordinate promotional activity,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,use laser to cut,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cut using laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,operation of laser cutting equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cutting using laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,operating laser cutting equipment,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,use laser to cut metal,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cutting metal with laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cutting with laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cutting metal using laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,laser cutting equipment operation,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,laser cutting,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cut metal using laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cut with laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45bef06d-dba9-4192-9805-2f7d27523638,cut metal with laser,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.8']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,supervise moving workpiece in a machine,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,oversee moving workpiece in a machine,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,audit moving workpiece in a machine,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,oversee operating machine and appliances,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,audit operating machine and appliances,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,supervise operating machine and appliances,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,manage operating machine and appliances,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45c19aa0-2c28-42ab-936b-a367face2268,manage moving workpiece in a machine,"[['ESCO_A', 'ESCO_A1', 'ESCO_A1.2', 'ESCO_A1.2.0'], ['ESCO_T', 'ESCO_T3', 'ESCO_T3.1', None], ['ESCO_S', 'ESCO_S8', 'ESCO_S8.5', 'ESCO_S8.5.0']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,organize technical operations for footwear and leather goods manufacturing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,apply methods for footwear manufacturing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,organise technical operations for footwear and leather goods manufacturing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,apply methods for leather goods manufacturing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,apply methods for footwear and leatherwear manufacturing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,apply methods for footwear and leather goods production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,organize technical operations for footwear and leather goods production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45d9d702-504a-4b12-883a-e7155aadab99,organise technical operations for footwear and leather goods production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.3']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,attaching lift shaft support equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,attachment of lift shaft support equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,installing lift shaft support equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,lift shaft support equipment attaching,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,lift shaft support equipment installing,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,lift shaft support equipment installation,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,attach lift shaft support equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,lift shaft support equipment attachment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45da162b-c721-4282-983a-9c29293a96fc,installation of lift shaft support equipment,"[['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.8'], ['ESCO_S', 'ESCO_S7', 'ESCO_S7.1', 'ESCO_S7.1.7']]",altLabels,esco
ESCO_45e73e73-d73f-424c-9385-fae828aa6ed8,guide special visitors,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.2'], ['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.4']]",altLabels,esco
ESCO_45e73e73-d73f-424c-9385-fae828aa6ed8,escort special visitors,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.2'], ['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.4']]",altLabels,esco
ESCO_45e73e73-d73f-424c-9385-fae828aa6ed8,accompany special visitors,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.2'], ['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.4']]",altLabels,esco
ESCO_45e73e73-d73f-424c-9385-fae828aa6ed8,supervising special visitors,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.2'], ['ESCO_S', 'ESCO_S3', 'ESCO_S3.4', 'ESCO_S3.4.4']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,honey constituent,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,ingredients of honey,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,honey ingredients,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,honey composition,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,honey make up,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,constituents of honey,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45ec1183-7e2f-4ad7-9f98-0829448621d5,constituent of honey,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0721']]",altLabels,esco
ESCO_45f0bf36-2410-4041-8b43-9d3b079afe33,research an outoor activity,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",altLabels,esco
ESCO_45f0bf36-2410-4041-8b43-9d3b079afe33,research outdoor areas and activities,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",altLabels,esco
ESCO_45f0bf36-2410-4041-8b43-9d3b079afe33,research activities outdoor,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",altLabels,esco
ESCO_45f0bf36-2410-4041-8b43-9d3b079afe33,look for outdoor area activity,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.1']]",altLabels,esco
ESCO_45f3857b-072f-4c4d-821f-c577e7483b3d,assess clean areas,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.0']]",altLabels,esco
ESCO_45f3857b-072f-4c4d-821f-c577e7483b3d,inspect areas for cleanliness,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.0']]",altLabels,esco
ESCO_45f3857b-072f-4c4d-821f-c577e7483b3d,assess areas for cleanliness,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.0']]",altLabels,esco
ESCO_45f3857b-072f-4c4d-821f-c577e7483b3d,ensure areas are spic-and-span,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.8', 'ESCO_S2.8.0']]",altLabels,esco
ESCO_45fc35a4-7530-4b94-9b56-1d485015fc7a,confer about plays,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",altLabels,esco
ESCO_45fc35a4-7530-4b94-9b56-1d485015fc7a,deliberate about plays,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",altLabels,esco
ESCO_45fc35a4-7530-4b94-9b56-1d485015fc7a,discussing plays,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",altLabels,esco
ESCO_45fc35a4-7530-4b94-9b56-1d485015fc7a,discuss play,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",altLabels,esco
ESCO_45fc35a4-7530-4b94-9b56-1d485015fc7a,talk about plays,"[['ESCO_S', 'ESCO_S1', 'ESCO_S1.2', 'ESCO_S1.2.1']]",altLabels,esco
ESCO_45fce913-bbf7-4796-a190-4f9f4ac439a4,interpret rules in sport games,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.3']]",altLabels,esco
ESCO_45fce913-bbf7-4796-a190-4f9f4ac439a4,interpret rules of sport games,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.3']]",altLabels,esco
ESCO_45fce913-bbf7-4796-a190-4f9f4ac439a4,interpret rules and laws in the spirit of the sport during the competition,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.3']]",altLabels,esco
ESCO_45fce913-bbf7-4796-a190-4f9f4ac439a4,understand sport rules,"[['ESCO_S', 'ESCO_S3', 'ESCO_S3.3', 'ESCO_S3.3.3']]",altLabels,esco
ESCO_46003629-a579-4d0a-b3ea-80ef890699d6,diagnose nursing-care,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",altLabels,esco
ESCO_46003629-a579-4d0a-b3ea-80ef890699d6,diagnose care in nursing,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",altLabels,esco
ESCO_46003629-a579-4d0a-b3ea-80ef890699d6,identify nursing care needs,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",altLabels,esco
ESCO_46003629-a579-4d0a-b3ea-80ef890699d6,diagnose nursing care requirements,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",altLabels,esco
ESCO_46003629-a579-4d0a-b3ea-80ef890699d6,point out nursing care requirements,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.1', 'ESCO_S2.1.2']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,mining sector strategies,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,mining sector guidelines,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,extractive sector strategies,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,extractive sector guidelines,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,extractive sector protocols,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_4600e453-d1cf-4567-96ff-5e9b4b26c030,mining sector protocols,"[['ESCO_K', 'ESCO_K07', 'ESCO_K072', 'ESCO_K0724']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,manage recirculation systems,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,recirculation system managing,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,recirculation system tending,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,recirculation systems managing,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,tending recirculation systems,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,recirculation systems tending,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,managing recirculation systems,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460135e3-9cf4-4ebd-95f7-01e9f3fb713e,tend recirculation systems,"[['ESCO_S', 'ESCO_S8', 'ESCO_S8.4', 'ESCO_S8.4.5']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,develop training program for animal,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,design training programme for animals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,design training program for animals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,design training schedules for animals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,elaborate training program for animal,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,develop training programmes for animals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,elaborate training programmes for animals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_460e8818-6b57-4187-b60e-1605a7bb5a85,design training schedule for animal,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.9', 'ESCO_S6.9.6'], ['ESCO_S', 'ESCO_S4', 'ESCO_S4.1', 'ESCO_S4.1.0']]",altLabels,esco
ESCO_4617a4fb-87d7-4316-ae1e-7c9f7301c15b,apply for funds,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.2', 'ESCO_S2.2.3']]",altLabels,esco
ESCO_4617a4fb-87d7-4316-ae1e-7c9f7301c15b,request sponsorships,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.2', 'ESCO_S2.2.3']]",altLabels,esco
ESCO_4617a4fb-87d7-4316-ae1e-7c9f7301c15b,obtain sponsors,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.2', 'ESCO_S2.2.3']]",altLabels,esco
ESCO_4617a4fb-87d7-4316-ae1e-7c9f7301c15b,obtain a sponsorship,"[['ESCO_S', 'ESCO_S2', 'ESCO_S2.2', 'ESCO_S2.2.3']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,analysing crop production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,analysing of crop production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,analyse crop production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,crop production supervising,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,crop production analysing,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,supervising crop production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_461ff70c-d675-4cae-aa10-24efbbc3a1ce,supervising of crop production,"[['ESCO_S', 'ESCO_S4', 'ESCO_S4.2', 'ESCO_S4.2.1']]",altLabels,esco
ESCO_46257638-c7e5-4257-8a96-1df07ec0d51b,apply heat to jewellery metals,"[['ESCO_S', 'ESCO_S6', 'ESCO_S6.3', 'ESCO_S6.3.3'], ['ESCO_S', 'ESCO_S6', 'ESCO_S6.5', 'ESCO_S6.5.1']]",altLabels,esco
